,topic,title,date,events,id,sentence,clause,dateText,exactDate,paragraphNo,realDate,lengthDate,endDate,url
0,Mackenzie,Utah Student Mackenzie Lueck’s Murder Details Exposed,2019-06-17 00:00:00+00:00,see,5,"As Radar readers know, Lueck was last seen on June 17 getting out of her Lyft driver's vehicle and into another vehicle at 3 a.m. at a desolate park.",As Lueck was last seen on June 17 getting out of Lyft driver vehicle and into another vehicle at 3 at a desolate park,17-Jun,FALSE,17,TRUE,7 days,2019-06-24 00:00:00+00:00,https://radaronline.com/exclusives/2019/07/mackenzie-lueck-murder-details-exposed-man-charged-murder-kidnapping/
1,Mackenzie,Missing Utah Student Mackenzie Lueck Confirmed Dead,2019-06-17 00:00:00+00:00,suspect,45,Police confirmed that Lueck and the suspected murderer's cell phone locations both matched Hatch Park at 3 a.m. on June 17. ,the suspected murderer cell phone locations both matched Hatch Park at 3 on June 17,17-Jun,FALSE,23,TRUE,7 days,2019-06-24 00:00:00+00:00,https://radaronline.com/exclusives/2019/06/missing-utah-student-mackenzie-lueck-confirmed-dead/
2,Mackenzie,Salt Lake City Police are investigating the disappearance of a 23-year-old University of Utah student missing since Monday,2019-06-22 00:00:00+00:00,arrive,31,Lueck texted her parents about 1 a.m. Monday morning from the Salt Lake City International Airport to let them know she arrived from California.,she arrived from California,0,FALSE,4,FALSE,,,https://www.sltrib.com/news/2019/06/22/university-utah-student/
3,Mackenzie,Student Is Missing In Utah,2019-06-22 00:00:00+00:00,miss,32,"Police Search For Missing Utah Student Mackenzie Lueck University of Utah pupil, 23, has missed classes and work.",For pupil 23 has missed classes and work,0,FALSE,3,FALSE,,,https://radaronline.com/exclusives/2019/06/police-search-for-missing-utah-student-mackenzie-lueck/
4,Mackenzie,Student Is Missing In Utah,2019-06-22 00:00:00+00:00,accuse,33,Man Accused of Ditching Evidence In Missing Mom Case Cleans House!,Man Accused of Cleans House,0,FALSE,13,FALSE,,,https://radaronline.com/exclusives/2019/06/police-search-for-missing-utah-student-mackenzie-lueck/
5,Mackenzie,Student Is Missing In Utah,2019-06-22 00:00:00+00:00,call,34,A RadarOnline.com call to Lueck's phone number went unanswered and she didn't immediately respond to a phone message.,call to Lueck phone number,0,FALSE,37,FALSE,,,https://radaronline.com/exclusives/2019/06/police-search-for-missing-utah-student-mackenzie-lueck/
6,Mackenzie,Student Is Missing In Utah,2019-06-22 00:00:00+00:00,find,35,The country mourned after University of Iowa Mollie Tibbetts was found dead at the hands of an alleged murderer after going missing.,University of Iowa Mollie Tibbetts was found after,0,FALSE,39,FALSE,,,https://radaronline.com/exclusives/2019/06/police-search-for-missing-utah-student-mackenzie-lueck/
7,Mackenzie,"Missing Utah Student Knows Possible Abductor, Friend Says",2019-06-26 00:00:00+00:00,claim,25,"In an interview with Radar, Lueck's sorority sister, Kennedy Stoner, claimed her friend would never willingly get into a car with someone she doesn't know.",In an interview with Radar Lueck sorority sister Kennedy Stoner claimed,0,FALSE,4,FALSE,,,https://radaronline.com/exclusives/2019/06/missing-utah-student-mackenzie-lueck-friend-interview-believes-she-knows-abductor/
8,Mackenzie,"Missing Utah Student Knows Possible Abductor, Friend Says",2019-06-26 00:00:00+00:00,confirm,26,Police confirmed the Lyft driver has since been cleared by police and is cooperating with authorities.,Police confirmed,0,FALSE,10,FALSE,,,https://radaronline.com/exclusives/2019/06/missing-utah-student-mackenzie-lueck-friend-interview-believes-she-knows-abductor/
9,Mackenzie,"Missing Utah Student Knows Possible Abductor, Friend Says",2019-06-26 00:00:00+00:00,ask,30,The Salt Lake City Police Department detectives ask that anyone with information of Lueck's whereabouts should contact the department at 801-799-3000.,The Salt Lake City Police Department detectives ask that,0,FALSE,28,FALSE,,,https://radaronline.com/exclusives/2019/06/missing-utah-student-mackenzie-lueck-friend-interview-believes-she-knows-abductor/
